chunk,phrase_type,word_order
case obl cc case conj case obl root,prepositional_phrase,sop
amod xcomp aux det nsubj appos root,noun_phrase,sp
mark nsubj advcl case obl case obl case advmod obl cc case det amod obl punct advmod nsubj iobj det amod obj root,prepositional_phrase,sop
case det amod obl punct mark nsubj advmod advcl,prepositional_phrase,osv
cc advmod obl root det nsubj,adverbial_clause,ops
case det obl punct punct ccomp case obl obl cc case obl conj obl amod nmod punct punct punct ccomp nmod case det obl cc amod conj case det obl det obl punct nsubj amod obj acl:relcl case obl punct advmod det compound nsubj advmod case obl conj punct advmod advcl mark nsubj ccomp amod obj punct punct ccomp obl punct punct mark conj punct punct det ccomp cop,prepositional_phrase,osv
case obl punct punct cc advmod conj nsubj det obl case det obl cc,prepositional_phrase,ovs
cc advmod advmod aux nsubj root,adverbial_clause,sp
punct mark advmod advmod det amod nsubj det amod obj advcl,subordinate_clause,sov
mark advmod nsubj obl case advmod advmod advmod obl advcl punct advmod root nsubj advmod obl det,prepositional_phrase,sop
case punct punct det nsubj ccomp obl case punct punct cc conj det amod obj appos punct mark nsubj acomp ccomp obl det amod case punct cc conj iobj det obj punct mark nsubj det obj compound:prt acl det obj punct nsubj det obj acl:relcl punct cc nsubj det obj acl:relcl punct mark nsubj iobj det obj advmod acl,prepositional_phrase,sov
nsubj aux advmod root,adverbial_clause,sp
punct parataxis obj punct ref det obj det nmod acl:relcl punct ref aux advmod det amod obj,adverbial_clause,sov
acl:relcl,unknown_chunk,sv
mark root advmod,subordinate_clause,ps
case obl acomp punct advcl det obj det obj advcl punct advcl nsubj iobj det obj compound:prt ccomp punct advcl obj nsubj advmod ccomp aux,prepositional_phrase,osv
punct mark nsubj case amod obl cc case amod obl mark obj xcomp advcl,prepositional_phrase,sov
mark nsubj advcl neg case nmod:gen obl punct mark advmod det nsubj advcl case det det obl punct advmod root nsubj advmod advmod det obl neg xcomp,prepositional_phrase,sop
nsubj root det amod obj,noun_phrase,spo
cc conj punct advmod case det obl cc conj case det det obl,prepositional_phrase,sov
det advcl det obj iobj det case obl punct advmod compound advcl nsubj advmod advmod det amod obj punct mark nsubj case det obl advmod advcl punct advmod case det obl punct advmod obj nsubj det obj advmod advcl case det obl punct cc advmod compound advcl nsubj obj advmod xcomp cc conj case det det obl cc case det det obl cc case det det obl punct mark nsubj advmod advmod advmod case det amod obj advcl punct mark nsubj advcl punct mark advmod case det amod obl cc obl obl root,prepositional_phrase,osp
det nsubj cc det nsubj root iobj amod obj advmod xcomp,adverbial_clause,spo
punct mark nsubj advmod advmod det obj aux,subordinate_clause,sov
ccomp,complement_clause,sv
