chunk,phrase_type,word_order
mark nsubj det compound mark nsubj nmod:poss advcl det nsubj root case obl mark acl:relcl nsubj det amod,prepositional_phrase,spo
cc conj case obl cc advmod conj advmod cc case conj conj case nmod cc case conj nmod:poss cc conj nmod:poss cc conj xcomp case obl cc advmod nsubj conj advmod nsubj det nsubj det amod cc nsubj conj case fixed obl case obj nmod:poss det amod cc conj cc case obl conj cc nsubj case nmod nmod:poss conj nsubj nmod:poss case det obl mark acl:relcl case obl case obl cc conj obj cc advmod case conj,prepositional_phrase,osv
mark advcl nsubj cc conj flat flat flat case obl root nsubj flat flat flat aux,prepositional_phrase,sop
ccomp case obl nsubj acl:relcl case obl,prepositional_phrase,osv
root mark,subordinate_clause,ps
mark aux advcl,subordinate_clause,vs
case obl cop nsubj amod,prepositional_phrase,ovs
cc det nsubj flat conj case obl obj cc advmod conj det det nsubj mark acl:relcl case obl nmod:poss det amod case obl nmod:poss cc case conj conj cc conj obj cc conj nmod:poss case nmod nmod:poss case obl compound nmod:poss advmod case obl nmod:poss det amod cc advmod case det obl det compound conj case obl mark advmod ccomp nsubj compound cc det conj case nmod case case nmod cc advmod conj obj case nmod case obl mark nsubj nmod:poss case nmod acl:relcl mark advmod ccomp cc advmod conj nsubj nmod:poss mark mark nsubj nsubj nmod:poss case det obl ccomp advmod nsubj nmod:poss case det nmod:poss case nmod,prepositional_phrase,sov
cc mark advcl nsubj nmod:poss case case obl advmod advmod nsubj cc conj root,prepositional_phrase,sop
case obl advmod xcomp case obj nmod:poss cc conj case det obl mark acl:relcl nsubj nmod:poss,prepositional_phrase,ovs
mark det cop,subordinate_clause,vs
case det obl mark acl:relcl nsubj det compound det det mark acl:relcl obj amod root nsubj,prepositional_phrase,osp
cc conj cc conj case obl compound,prepositional_phrase,vso
cc root,main_clause,sp
mark ccomp det nsubj cc conj case obl nsubj mark acl:relcl nsubj case obl det det cc advmod conj case obl advmod nsubj case nmod det compound mark amod advmod acl:relcl nsubj case nmod cc conj nsubj case nmod advmod mark acl:relcl case obl det det advmod acl:relcl case det obl cc advmod case conj case nmod cc case conj nmod:poss mark acl:relcl case obl csubj obj conj nsubj compound cc advmod conj advmod cc advmod conj advmod cc conj conj cc case obl det nsubj mark case case acl:relcl nsubj cc conj compound,prepositional_phrase,sov
case obl det compound root,prepositional_phrase,osp
cc case obl advmod mark nsubj case obl aux,prepositional_phrase,osv
conj nsubj nmod:poss cc conj nmod:poss advmod cc aux,adverbial_clause,sv
conj obj compound case obl case nmod amod det nsubj acl:relcl det nsubj case fixed advcl case obl det compound mark det nsubj advmod acl:relcl obj cc det nsubj conj cc nsubj aux,prepositional_phrase,osv
conj advmod conj case obl amod det compound case fixed advcl punct parataxis advmod advmod punct mark acl:relcl nsubj,prepositional_phrase,ovs
cc advmod root,adverbial_clause,ps
case obl cc conj compound case obl acl:relcl nsubj,prepositional_phrase,ovs
advmod root case obl advmod mark advcl advmod nsubj nsubj nmod:poss nsubj nmod:poss nsubj nmod:poss,prepositional_phrase,pos
conj cop conj advmod conj xcomp obj,adverbial_clause,vos
case advcl det case obl mark advmod ccomp case obl punct appos advmod flat punct obj amod case obl nmod:poss cc nsubj conj case case obl,prepositional_phrase,osv
cc advmod root,adverbial_clause,ps
case obl compound flat nsubj compound compound compound flat conj case obl nmod:poss,prepositional_phrase,osv
cc advmod nsubj compound nmod:poss root advmod obj,adverbial_clause,spo
mark aux,subordinate_clause,sv
